System,Directory
Nintendo Entertainment System,Nintendo Entertainment System
Super Nintendo Entertainment System,Super Nintendo Entertainment System
Nintendo 64,Nintendo 64
Nintendo Game Boy,Nintendo Game Boy
Nintendo Game Boy Color,Nintendo Game Boy Color
Nintendo Game Boy Advance,Nintendo Game Boy Advance
Nintendo DS,Nintendo DS
Sega Master System,Sega Master System
Sega Game Gear,Sega Game Gear
Sega Genesis,Sega Genesis
Sega CD,Sega CD
Sega 32X,Sega 32X
Sega Saturn,Sega Saturn
Sega Dreamcast,Sega Dreamcast
Sony PlayStation,Sony PlayStation
Sony PSP,Sony PSP
Atari 2600,Atari 2600
Atari Lynx,Atari Lynx
NEC TurboGrafx-16,NEC TurboGrafx-16
NEC TurboGrafx-CD,NEC TurboGrafx-CD
SNK Neo Geo,SNK Neo Geo
SNK Neo Geo Pocket,SNK Neo Geo Pocket
SNK Neo Geo Pocket Color,SNK Neo Geo Pocket Color
Bandai WonderSwan,Bandai WonderSwan
Bandai WonderSwan Color,Bandai WonderSwan Color
Arcade,Arcade
