System,Directory
Nintendo Entertainment System,nes
Super Nintendo Entertainment System,snes
Nintendo 64,n64
Nintendo Game Boy,gb
Nintendo Game Boy Color,gbc
Nintendo Game Boy Advance,gba
Nintendo DS,nds
Sega Master System,mastersystem
Sega Game Gear,gamegear
Sega Genesis,megadrive
Sega CD,segacd
Sega 32X,sega32x
Sega Saturn,saturn
Sega Dreamcast,dreamcast
Sony PlayStation,psx
Sony PSP,psp
Atari 2600,atari2600
Atari Lynx,lynx
NEC TurboGrafx-16,pcengine
NEC TurboGrafx-CD,pcenginecd
SNK Neo Geo,neogeo
SNK Neo Geo Pocket,ngp
SNK Neo Geo Pocket Color,ngpc
Bandai WonderSwan,wonderswan
Bandai WonderSwan Color,wonderswancolor
Arcade,arcade
